city,weather_now_C,felling,wind,humidity,pressure,url,time
São Paulo - SP,28.0,28.0,NW-20km/h,45.0,1011,https://www.climatempo.com.br/previsao-do-tempo/agora/cidade/558/saopaulo-sp,2021-03-11T18:04
Rio de Janeiro - RJ,26.0,28.0,S-28km/h,89.0,1008,https://www.climatempo.com.br/previsao-do-tempo/agora/cidade/321/riodejaneiro-rj,2021-03-11T18:04
